"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
2,constant,16777216,123456,1,parallel,2,323.954014
2,constant,16777216,123456,1,drake,1,223.108572
2,constant,16777216,123456,1,drake,2,223.564405
3,uniform-random,1048576,123456,1,parallel,1,92.114286
3,uniform-random,1048576,123456,1,parallel,2,91.217586
3,uniform-random,1048576,123456,1,drake,1,53.183868
3,uniform-random,1048576,123456,1,drake,2,54.009705
3,uniform-random,1048576,123456,2,parallel,1,92.915852
3,uniform-random,1048576,123456,2,parallel,2,93.143353
3,uniform-random,1048576,123456,2,drake,1,53.862350
3,uniform-random,1048576,123456,2,drake,2,53.730566
3,uniform-random,4194304,123456,1,parallel,1,391.147195
3,uniform-random,4194304,123456,1,parallel,2,391.794669
3,uniform-random,4194304,123456,1,drake,1,216.132799
3,uniform-random,4194304,123456,1,drake,2,216.135923
3,uniform-random,4194304,123456,2,parallel,1,390.926077
3,uniform-random,4194304,123456,2,parallel,2,390.660895
3,uniform-random,4194304,123456,2,drake,1,217.772668
3,uniform-random,4194304,123456,2,drake,2,216.467531
3,uniform-random,16777216,123456,1,parallel,1,1700.485998
3,uniform-random,16777216,123456,1,parallel,2,1700.817749
3,uniform-random,16777216,123456,1,drake,1,897.347476
3,uniform-random,16777216,123456,1,drake,2,895.499090
3,uniform-random,16777216,123456,2,parallel,1,1701.396245
3,uniform-random,16777216,123456,2,parallel,2,1701.154331
3,uniform-random,16777216,123456,2,drake,1,897.783134
3,uniform-random,16777216,123456,2,drake,2,900.953608
3,increasing,1048576,123456,1,parallel,1,27.674227
3,increasing,1048576,123456,1,parallel,2,27.295848
3,increasing,1048576,123456,1,drake,1,21.466719
3,increasing,1048576,123456,1,drake,2,21.612865
3,increasing,4194304,123456,1,parallel,1,110.221331
3,increasing,4194304,123456,1,parallel,2,109.463173
3,increasing,4194304,123456,1,drake,1,76.527239
3,increasing,4194304,123456,1,drake,2,75.600328
3,increasing,16777216,123456,1,parallel,1,469.015289
3,increasing,16777216,123456,1,parallel,2,470.441314
3,increasing,16777216,123456,1,drake,1,300.111174
3,increasing,16777216,123456,1,drake,2,323.601174
3,decreasing,1048576,123456,1,parallel,1,18.841214
3,decreasing,1048576,123456,1,parallel,2,19.888667
3,decreasing,1048576,123456,1,drake,1,15.333482
3,decreasing,1048576,123456,1,drake,2,14.574753
3,decreasing,4194304,123456,1,parallel,1,74.389158
3,decreasing,4194304,123456,1,parallel,2,73.212892
3,decreasing,4194304,123456,1,drake,1,54.012638
3,decreasing,4194304,123456,1,drake,2,53.481006
3,decreasing,16777216,123456,1,parallel,1,313.732845
3,decreasing,16777216,123456,1,parallel,2,314.168756
3,decreasing,16777216,123456,1,drake,1,210.124596
3,decreasing,16777216,123456,1,drake,2,210.606408
3,constant,1048576,123456,1,parallel,1,19.841128
3,constant,1048576,123456,1,parallel,2,19.974656
3,constant,1048576,123456,1,drake,1,16.554340
3,constant,1048576,123456,1,drake,2,16.066975
3,constant,4194304,123456,1,parallel,1,76.965508
3,constant,4194304,123456,1,parallel,2,74.757878
3,constant,4194304,123456,1,drake,1,57.814642
3,constant,4194304,123456,1,drake,2,58.077811
3,constant,16777216,123456,1,parallel,1,322.390682
3,constant,16777216,123456,1,parallel,2,324.873848
3,constant,16777216,123456,1,drake,1,231.591334
3,constant,16777216,123456,1,drake,2,230.587238
4,uniform-random,1048576,123456,1,parallel,1,92.264512
4,uniform-random,1048576,123456,1,parallel,2,91.685447
4,uniform-random,1048576,123456,1,drake,1,34.265961
4,uniform-random,1048576,123456,1,drake,2,34.388725
4,uniform-random,1048576,123456,2,parallel,1,92.744540
4,uniform-random,1048576,123456,2,parallel,2,91.913684
4,uniform-random,1048576,123456,2,drake,1,34.414977
4,uniform-random,1048576,123456,2,drake,2,32.735771
4,uniform-random,4194304,123456,1,parallel,1,391.417798
4,uniform-random,4194304,123456,1,parallel,2,391.621707
4,uniform-random,4194304,123456,1,drake,1,132.779317
4,uniform-random,4194304,123456,1,drake,2,130.684074
4,uniform-random,4194304,123456,2,parallel,1,390.997110
4,uniform-random,4194304,123456,2,parallel,2,390.769968
4,uniform-random,4194304,123456,2,drake,1,129.849286
4,uniform-random,4194304,123456,2,drake,2,129.819040
4,uniform-random,16777216,123456,1,parallel,1,1700.785902
4,uniform-random,16777216,123456,1,parallel,2,1700.721037
4,uniform-random,16777216,123456,1,drake,1,515.432785
4,uniform-random,16777216,123456,1,drake,2,516.011812
4,uniform-random,16777216,123456,2,parallel,1,1701.153804
4,uniform-random,16777216,123456,2,parallel,2,1701.297773
4,uniform-random,16777216,123456,2,drake,1,518.082180
4,uniform-random,16777216,123456,2,drake,2,514.156661
4,increasing,1048576,123456,1,parallel,1,29.106599
4,increasing,1048576,123456,1,parallel,2,27.903431
4,increasing,1048576,123456,1,drake,1,15.398914
4,increasing,1048576,123456,1,drake,2,14.175165
4,increasing,4194304,123456,1,parallel,1,109.558786
4,increasing,4194304,123456,1,parallel,2,109.686175
4,increasing,4194304,123456,1,drake,1,49.775694
4,increasing,4194304,123456,1,drake,2,50.089554
4,increasing,16777216,123456,1,parallel,1,469.283739
4,increasing,16777216,123456,1,parallel,2,469.469323
4,increasing,16777216,123456,1,drake,1,189.306281
4,increasing,16777216,123456,1,drake,2,188.772458
4,decreasing,1048576,123456,1,parallel,1,19.319596
4,decreasing,1048576,123456,1,parallel,2,20.433765
4,decreasing,1048576,123456,1,drake,1,12.920176
4,decreasing,1048576,123456,1,drake,2,12.931291
4,decreasing,4194304,123456,1,parallel,1,74.582868
4,decreasing,4194304,123456,1,parallel,2,74.631226
4,decreasing,4194304,123456,1,drake,1,41.762692
4,decreasing,4194304,123456,1,drake,2,41.501698
4,decreasing,16777216,123456,1,parallel,1,313.450273
4,decreasing,16777216,123456,1,parallel,2,315.099648
4,decreasing,16777216,123456,1,drake,1,157.992121
4,decreasing,16777216,123456,1,drake,2,157.979554
4,constant,1048576,123456,1,parallel,1,20.297885
4,constant,1048576,123456,1,parallel,2,19.175005
4,constant,1048576,123456,1,drake,1,12.983553
4,constant,1048576,123456,1,drake,2,12.932920
4,constant,4194304,123456,1,parallel,1,75.676742
4,constant,4194304,123456,1,parallel,2,75.328715
4,constant,4194304,123456,1,drake,1,41.362044
4,constant,4194304,123456,1,drake,2,41.620008
4,constant,16777216,123456,1,parallel,1,327.770794
4,constant,16777216,123456,1,parallel,2,325.570797
4,constant,16777216,123456,1,drake,1,161.291842
4,constant,16777216,123456,1,drake,2,161.099904
